Search term,Recipe name,Cuisine Type,Diet type,Total time,Calories,Carbohydrates,Fat,Protein,URL
bread,Easiest Ever Garlic Bread recipes,american,none,3,210,37,3,8,http://www.simplyrecipes.com/recipes/easiest_ever_garlic_bread/
bread,Bread with Peanut Butter,american,none,5,176,17,9,8,http://www.eatingwell.com/recipe/263538/bread-with-peanut-butter/
bread,Salt beef on rye bread with mustard sauce,american,none,10,418,15,29,25,https://www.bbcgoodfood.com/recipes/salt-beef-rye-bread-mustard-sauce
bread,Garlic Bread,american,none,8,1674,192,78,53,https://www.foodnetwork.com/recipes/rachael-ray/garlic-bread-recipe-1951706
bread,Brown-Butter Bread Crumbs,american,none,10,670,32,59,13,https://www.menshealth.com/recipes/brown-butter-bread-crumbs
bread,Bacon & Cheese Bread Omelet,american,none,10,1025,32,72,61,https://www.delish.com/cooking/recipe-ideas/a32981740/bacon-cheese-bread-omelet-recipe/
bread,Pressed Garlic Bread recipes,american,none,10,1783,158,115,33,http://www.marthastewart.com/346116/pressed-garlic-bread
bread,Brown shrimps on toast,american,none,10,654,54,27,50,http://www.jamieoliver.com/recipes/seafood-recipes/brown-shrimps-on-toast/
bread,Nutella-Stracchino Grilled Sandwich recipes,american,none,10,2507,210,148,84,http://www.tastingtable.com/cook/recipes/nutella-grilled-cheese-sandwich-recipe-joe-carroll
bread,Raisin Bread & Farmer's Cheese,american,none,5,290,35,10,15,http://www.eatingwell.com/recipe/249321/raisin-bread-farmers-cheese/
